,title,company,location,salary,job_type,summary,link_job,company_link
53,newSenior Software Engineer,Dow Jones,"Rockville, MD+15 locations",,,"Job Description: Dow Jones , Making Careers Newsworthy All qualified applicants will receive consideration for employment without regard to race, color,…",https://www.indeed.com/rc/clk?jk=a6bddabecb14105c&fccid=d2621f51dde471d3&vjs=3,https://www.indeed.com/cmp/Dow-Jones
54,New Graduate Software Engineer,Quantcast,"Hybrid remote in San Francisco, CA 94103+4 locations",,Full-time,"You will be responsible for the day-to-day product operations.
You will collaborate with Product & Business Operations teams to translate business requirements…",https://www.indeed.com/rc/clk?jk=2b9356cd0f9c49b2&fccid=ae804d7135a7b480&vjs=3,https://www.indeed.com/cmp/Quantcast
55,newAssociate Software Engineer,"Vizient, Inc.","Chicago, IL 60606 (Loop area)+11 locations",59600.0,Full-time,"Full-stack software development experience preferred.
Resolve application defects (debugging and bug cycle support).
Develop and test defined user stories.",https://www.indeed.com/rc/clk?jk=baf86097a28d699e&fccid=ab22e7c357e67bd4&vjs=3,"https://www.indeed.com/cmp/Vizient,-Inc."
56,newSr. Software Engineer,FocusKPI Inc.,+1 locationRemote,,Contract,"Customer engagement, business-facing, strong developer/automation skills.
Strong understanding of architectural models and technology stack used for developing…",https://www.indeed.com/rc/clk?jk=3a71e40cc36da799&fccid=29efea1158b643d0&vjs=3,
57,newSoftware Engineer,Involve.ai,Remote,,Full-time,"3+ years of software engineering experience.
Lead and mentor junior/mid level engineers, establish code standards.
Proficient knowledge of NoSQL (MongoDB).",https://www.indeed.com/rc/clk?jk=4ca28a1351cdc1fd&fccid=9b1cde37c7d98e37&vjs=3,https://www.indeed.com/cmp/Involve
58,"Software Engineer, NodeJS / React",AdCellerant,Remote,65000.0,Full-time,"Understands modern software development practices and methodologies.
Understands software design patterns and their usage in good code design.",https://www.indeed.com/rc/clk?jk=08de21503caf613a&fccid=5d97fce90cf86fd2&vjs=3,https://www.indeed.com/cmp/Adcellerant
59,Software Engineer- QA,"Zoom Video Communications, Inc.","Remote in San Francisco Bay Area, CA",,Full-time,"3 - 5 years of demonstrable experience testing highly available web applications at scale, inclusive of manual and automated testing;",https://www.indeed.com/rc/clk?jk=dcd4485f2a9f2e08&fccid=e32d933c26e873c8&vjs=3,"https://www.indeed.com/cmp/Zoom-Video-Communications,-Inc."
60,Front-End Engineer,"Osano, Inc., A Public Benefit Corporation","Remote in Austin, TX",110000.0,Full-time,"For us, that means being curious, proactively communicating, and bringing ingenuity and initiative every day.
You’ll own small-to-medium features from technical…","https://www.indeed.com/company/Osano,-Inc.,-A-Public-Benefit-Corporation/jobs/Front-End-Engineer-dddd478b80f1829a?fccid=60eaa92a961ee388&vjs=3",
61,Software Engineer - Backend (All Levels),MainStreet,Remote,100000.0,Full-time,"From complex government tax credits to exclusive discounts on the tools you use every day, we save you thousands of dollars, hundreds of hours, and countless…",https://www.indeed.com/rc/clk?jk=be816bc9b9188ccf&fccid=d7fc59587a5ff1f0&vjs=3,
62,"Software Engineer, React Front End Development",Anheuser-Busch,"St. Louis, MO",78400.0,Full-time,"3+ years of professional software development experience.
From contributing to new applications to enhancing existing products, you will work amongst a team of…",https://www.indeed.com/rc/clk?jk=941fd3432faaca4d&fccid=6a0ec97aaed91975&vjs=3,
